date,type,ticker,volume,price,total,vol_adj
2018-08-31,Buy,ITSA4,500,9.58,4790.0,500
2018-09-17,Buy,EGIE3,40,36.5,1460.0,40
2018-10-03,Buy,ABEV3,28,18.26,511.28000000000003,28
2018-10-03,Buy,UGPA3,13,40.68,528.84,13
2018-10-08,Buy,ITUB3,14,42.58,596.12,14
2018-10-08,Buy,GRND3,70,7.2,504.0,70
2018-10-16,Buy,WEGE3,22,18.38,404.35999999999996,22
2018-10-16,Buy,WEGE3,13,18.84,244.92,13
2018-10-16,Buy,ODPV3,40,12.4,496.0,40
2018-10-16,Buy,ABEV3,30,17.29,518.6999999999999,30
2018-10-23,Buy,BIDI4,12,46.18,554.16,12
2018-11-07,Buy,IRBR3,7,67.7,473.90000000000003,7
2018-11-07,Buy,BIDI4,15,41.06,615.9000000000001,15
2018-11-07,Buy,ABEV3,25,16.8,420.0,25
2018-11-21,Buy,FLRY3,30,20.39,611.7,30
2018-11-21,Buy,WEGE3,25,18.19,454.75000000000006,25
2018-11-21,Buy,MDIA3,10,42.65,426.5,10
2018-11-21,Buy,BIDI4,15,35.4,531.0,15
2018-11-21,Buy,ABEV3,10,16.12,161.20000000000002,10
2018-11-21,Split,ITUB3,7,0.0,0.0,7
2018-11-21,Buy,IRBR3,5,72.5,362.5,5
2018-11-26,Buy,BIDI4,13,35.54,462.02,13
2018-12-03,Buy,CIEL3,50,9.6,480.0,50
2018-12-06,Buy,MDIA3,4,40.9,163.6,4
2018-12-07,Buy,ABEV3,20,16.1,322.0,20
2018-12-07,Buy,CIEL3,40,9.8,392.0,40
2018-12-07,Buy,ABEV3,10,16.2,162.0,10
2018-12-07,Buy,WEGE3,30,17.85,535.5,30
2018-12-07,Buy,FLRY3,30,21.7,651.0,30
2018-12-10,Buy,CIEL3,8,9.09,72.72,8
2018-12-12,Split,EGIE3,10,0.0,0.0,10
2019-01-07,Buy,BIDI4,10,38.1,381.0,10
2019-01-07,Buy,WEGE3,20,18.61,372.2,20
2019-01-07,Buy,ABEV3,20,16.42,328.40000000000003,20
2019-01-07,Buy,FLRY3,15,21.45,321.75,15
2019-01-18,Buy,MDIA3,7,46.33,324.31,7
2019-01-18,Buy,FLRY3,13,21.93,285.09,13
2019-01-28,Sell,CIEL3,98,10.7,-1048.6,-98
2019-03-08,Sell,UGPA3,13,52.63,-684.19,-13
2019-03-12,Buy,FLRY3,30,20.44,613.2,30
2019-03-19,Sell,BIDI4,25,45.5,-1137.5,-25
2019-03-19,Sell,BIDI4,20,46.5,-930.0,-20
2019-03-20,Sell,BIDI4,20,48.5,-970.0,-20
2019-03-25,Buy,PSSA3,10,53.4,534.0,10
2019-03-25,Buy,ENBR3,30,17.26,517.8000000000001,30
2019-03-25,Buy,HYPE3,20,25.85,517.0,20
2019-04-03,Buy,ENBR3,30,17.3,519.0,30
2019-04-15,Buy,ITUB3,17,28.82,489.94,17
2019-05-16,Buy,FLRY3,20,19.5,390.0,20
2019-05-16,Buy,PSSA3,10,49.0,490.0,10
2019-05-21,Buy,MDIA3,15,39.17,587.5500000000001,15
2019-05-21,Buy,ENBR3,20,18.52,370.4,20
2019-05-21,Buy,HYPE3,11,29.31,322.40999999999997,11
2019-06-04,Buy,BRKM5,30,34.3,1029.0,30
2019-06-24,Sell,BRKM5,30,35.36,-1060.8,-30
2019-08-06,Buy,SUZB3,20,29.5,590.0,20
2019-08-08,Buy,SUZB3,20,31.15,623.0,20
2019-08-14,Buy,MDIA3,20,37.43,748.6,20
2019-09-10,Buy,RLOG3,100,19.56,1955.9999999999998,100
2019-09-10,Buy,B3SA3,6,43.39,260.34000000000003,6
2019-09-10,Buy,B3SA3,10,43.3,433.0,10
2019-09-10,Buy,B3SA3,10,43.35,433.5,10
2019-09-10,Buy,B3SA3,10,43.25,432.5,10
2019-09-10,Buy,MGLU3,20,32.0,640.0,20
2019-09-10,Buy,MGLU3,20,32.07,641.4,20
2019-09-13,Buy,ODPV3,50,15.56,778.0,50
2019-10-10,Split,IRBR3,24,0.0,0.0,24
2020-02-12,Buy,IRBR3,20,33.9,678.0,20
2020-02-14,Buy,IRBR3,25,33.39,834.75,25
2020-02-27,Buy,ABEV3,20,14.65,293.0,20
2020-02-27,Buy,ITUB3,20,28.45,569.0,20
2020-02-27,Buy,RLOG3,25,18.52,463.0,25
2020-02-27,Buy,ODPV3,30,15.8,474.0,30
2020-02-28,Buy,VLID3,50,14.71,735.5,50
2020-03-02,Buy,VLID3,30,15.44,463.2,30
2020-03-02,Buy,ODPV3,25,16.9,422.49999999999994,25
2020-03-03,Buy,IRBR3,20,30.53,610.6,20
2020-03-03,Buy,VLID3,30,15.74,472.2,30
2020-03-03,Buy,GRND3,40,10.0,400.0,40
2020-03-04,Buy,IRBR3,35,18.47,646.4499999999999,35
2020-03-04,Buy,IRBR3,15,18.46,276.90000000000003,15
2020-03-04,Buy,IRBR3,20,19.14,382.8,20
2020-03-04,Buy,IRBR3,19,21.45,407.55,19
2020-03-04,Buy,IRBR3,45,18.55,834.75,45
2020-03-05,Buy,MGLU3,15,48.18,722.7,15
2020-03-10,Buy,PETR4,90,17.99,1619.1,90
2020-03-10,Buy,VLID3,50,12.47,623.5,50
2020-03-10,Buy,RLOG3,60,15.43,925.8,60
2020-03-10,Buy,PETR4,90,17.59,1583.1,90
2020-03-11,Buy,PETR4,50,15.17,758.5,50
2020-03-11,Buy,MYPK3,80,14.2,1136.0,80
2020-03-13,Buy,VLID3,50,10.35,517.5,50
2020-03-13,Buy,MYPK3,50,13.28,664.0,50
2020-03-13,Buy,PETR4,50,14.24,712.0,50
2020-03-13,Buy,SUZB3,20,30.08,601.5999999999999,20
2020-03-16,Buy,MYPK3,50,11.8,590.0,50
2020-03-16,Buy,PETR4,50,13.3,665.0,50
2020-03-16,Buy,MGLU3,15,35.35,530.25,15
2020-03-16,Buy,WEGE3,25,27.66,691.5,25
2020-03-19,Buy,ENBR3,95,15.02,1426.8999999999999,95
2020-03-19,Buy,VLID3,95,7.73,734.35,95
2020-03-19,Buy,MGLU3,20,30.34,606.8,20
2020-03-25,Buy,EGIE3,15,38.0,570.0,15
2020-03-25,Buy,EGIE3,10,37.5,375.0,10
2020-03-25,Buy,IRBR3,90,8.83,794.7,90
2020-03-25,Buy,ITUB3,30,22.06,661.8,30
2020-06-12,Buy,HYPE3,50,33.01,1650.5,50
2020-06-12,Buy,PSSA3,35,51.0,1785.0,35
2020-07-27,Buy,ITUB3,25,25.56,639.0,25
2020-07-27,Buy,MYPK3,50,12.7,635.0,50
2020-07-27,Buy,MGLU3,25,79.38,1984.5,25
2020-07-27,Buy,EGIE3,32,44.7,1430.4,32
2020-08-08,Buy,ABEV3,80,13.36,1068.8,80
2020-08-08,Buy,ITUB3,50,24.32,1216.0,50
2020-08-21,Buy,IRBR3,200,7.73,1546.0,200
2020-08-31,Buy,ITSA4,100,9.6,960.0,100
2020-08-31,Buy,ODPV3,70,12.7,889.0,70
2020-09-08,Buy,ITUB3,30,23.23,696.9,30
2020-09-08,Buy,ABEV3,27,12.44,335.88,27
2020-09-14,Split,MGLU3,345,0.0,0.0,345
2020-09-23,Buy,IRBR3,65,6.32,410.8,65
2020-09-23,Buy,IRBR3,10,6.33,63.3,10
2020-09-23,Buy,IRBR3,99,6.33,626.67,99
2020-09-24,Buy,ITSA4,112,8.9,996.8000000000001,112
2020-11-05,Buy,ITUB3,20,23.73,474.6,20
2020-11-05,Buy,ODPV3,30,12.81,384.3,30
2020-11-26,Buy,PSSA3,26,48.01,1248.26,26
2020-12-15,Buy,ODPV3,45,13.66,614.7,45
2020-12-15,Buy,MYPK3,41,14.38,589.58,41
2020-12-18,Buy,ELET3,30,36.85,1105.5,30
2020-12-21,Buy,ELET3,50,36.07,1803.5,50
2021-01-04,Buy,ELET3,40,35.68,1427.2,40
